"","X1","sessionId","userid","cond","ip_check","attention_check","senario","decision","comfort","useful","risk","appropriate","expected","id","default","framing","ask.reason","who","what","purpose","collection","page","whof","purposef","collectionf","whatf","cstore","caction"
"27",55,5,1248,252,FALSE,0,30150,1,3,3,3,3,3,55,0,1,1,5,4,0,5,3,"assis","preshouse","reminsi","colight","remserv","insight"
"28",56,5,1248,252,FALSE,0,30160,0,1,-3,3,1,-1,56,0,1,0,4,3,3,4,4,"light","alert","remopti","cowash","remserv","opti"
"29",57,5,1248,252,FALSE,0,30170,1,3,3,3,3,3,57,0,1,1,0,7,0,8,5,"secu","preshouse","remoptishr","coalarm","share","opti"
"30",58,5,1248,252,FALSE,0,30180,1,3,3,3,3,3,58,0,1,0,0,11,2,0,6,"secu","opauto","locally","watch","locally","nothing"
"31",59,5,1248,252,FALSE,0,30190,0,0,-3,3,1,-3,59,0,1,0,3,2,1,3,7,"wash","lochouse","locreco","cohvac","locally","reco"
"32",60,5,1248,252,FALSE,0,30200,0,-1,-3,0,0,-3,60,0,1,1,3,10,3,11,8,"wash","alert","remshr","micro","share","nothing"
"33",61,5,1248,252,FALSE,0,30210,0,1,-3,3,0,-3,61,0,1,0,1,0,3,1,9,"refr","alert","locopti","cosecu","locally","opti"
"34",62,5,1248,252,FALSE,0,30220,0,1,-3,3,0,-1,62,0,1,1,2,1,0,2,10,"hvac","preshouse","locinsi","corefri","locally","insight"
"35",63,5,1248,252,FALSE,0,30230,0,1,-2,3,-1,-3,63,0,1,0,7,6,2,7,11,"alarm","opauto","remserv","cotv","remserv","nothing"
"36",64,5,1248,252,FALSE,0,30240,0,-1,-3,1,0,-3,64,0,1,0,1,8,1,9,12,"refr","lochouse","reminsishr","locsens","share","insight"
"37",79,7,59395,1143,FALSE,0,137050,0,-1,-2,-1,-2,-1,79,2,2,0,2,5,2,3,1,"hvac","opauto","locreco","coassis","locally","reco"
"38",80,7,59395,1143,FALSE,0,137060,0,-3,-3,-2,-3,-3,80,2,2,0,1,4,1,2,2,"refr","lochouse","locinsi","colight","locally","insight"
"39",81,7,59395,1143,FALSE,0,137070,0,-2,-2,-1,-2,1,81,2,2,0,5,8,2,6,3,"assis","opauto","remreco","locsens","remserv","reco"
"40",82,7,59395,1143,FALSE,0,137080,0,0,-3,0,-1,0,82,2,2,0,4,7,1,5,4,"light","lochouse","reminsi","coalarm","remserv","insight"
"41",83,7,59395,1143,FALSE,0,137090,1,0,1,1,0,-1,83,2,2,1,3,6,0,4,5,"wash","preshouse","remopti","cotv","remserv","opti"
"42",84,7,59395,1143,FALSE,0,137100,0,-3,-3,-3,-3,-3,84,2,2,1,1,0,3,10,6,"refr","alert","remrecoshr","cosecu","share","reco"
"43",85,7,59395,1143,FALSE,0,137110,0,-1,1,-3,-3,-3,85,2,2,0,2,1,0,11,7,"hvac","preshouse","remshr","corefri","share","nothing"
"44",86,7,59395,1143,FALSE,0,137120,0,-2,-1,-2,-3,-2,86,2,2,0,7,10,1,8,8,"alarm","lochouse","remoptishr","micro","share","opti"
"45",87,7,59395,1143,FALSE,0,137130,1,1,0,1,2,1,87,2,2,0,7,2,3,0,9,"alarm","alert","locally","cohvac","locally","nothing"
"46",88,7,59395,1143,FALSE,0,137140,0,-3,-2,-3,-3,-2,88,2,2,0,0,11,2,9,10,"secu","opauto","reminsishr","watch","share","insight"
"47",89,7,59395,1143,FALSE,0,137150,0,-3,-3,-1,-3,-3,89,2,2,1,0,3,0,1,11,"secu","preshouse","locopti","cowash","locally","opti"
"48",90,7,59395,1143,FALSE,0,137160,1,-1,-1,-1,0,-1,90,2,2,1,6,9,3,7,12,"tv","alert","remserv","cam","remserv","nothing"
"49",92,8,78162,416,FALSE,0,49810,1,1,1,2,1,-1,92,1,0,0,7,4,3,9,1,"alarm","alert","reminsishr","colight","share","insight"
"50",93,8,78162,416,FALSE,0,49820,1,2,3,3,3,1,93,1,0,1,5,2,0,7,2,"assis","preshouse","remserv","cohvac","remserv","nothing"
"51",94,8,78162,416,FALSE,0,49830,1,2,3,3,3,1,94,1,0,1,2,11,1,4,3,"hvac","lochouse","remopti","watch","remserv","opti"
"52",95,8,78162,416,FALSE,0,49840,1,1,1,1,1,-1,95,1,0,0,0,9,2,2,4,"secu","opauto","locinsi","cam","locally","insight"
"53",96,8,78162,416,FALSE,0,49850,1,-1,-1,-1,-1,-3,96,1,0,0,1,6,1,11,5,"refr","lochouse","remshr","cotv","share","nothing"
"54",97,8,78162,416,FALSE,0,49860,1,1,1,1,1,-1,97,1,0,1,0,5,0,10,6,"secu","preshouse","remrecoshr","coassis","share","reco"
"55",98,8,78162,416,FALSE,0,49870,1,2,2,2,2,1,98,1,0,0,6,7,0,0,7,"tv","preshouse","locally","coalarm","locally","nothing"
"56",99,8,78162,416,FALSE,0,49880,1,2,2,2,2,1,99,1,0,1,7,8,1,1,8,"alarm","lochouse","locopti","locsens","locally","opti"
"57",100,8,78162,416,FALSE,0,49890,0,-1,-1,-1,-1,-2,100,1,0,0,3,0,2,5,9,"wash","opauto","reminsi","cosecu","remserv","insight"
"58",101,8,78162,416,FALSE,0,49900,0,-2,-2,-1,-2,-2,101,1,0,0,6,3,2,8,10,"tv","opauto","remoptishr","cowash","share","opti"
"59",102,8,78162,416,FALSE,0,49910,1,1,1,1,1,-1,102,1,0,0,1,10,3,3,11,"refr","alert","locreco","micro","locally","reco"
"60",103,8,78162,416,FALSE,0,49920,1,1,1,1,1,1,103,1,0,0,4,1,3,6,12,"light","alert","remreco","corefri","remserv","reco"
"61",105,9,3538,714,FALSE,1,85570,1,1,1,1,1,1,105,1,2,0,4,10,1,5,1,"light","lochouse","reminsi","micro","remserv","insight"
"62",106,9,3538,714,FALSE,1,85580,1,1,1,2,2,2,106,1,2,0,7,1,1,8,2,"alarm","lochouse","remoptishr","corefri","share","opti"
"63",107,9,3538,714,FALSE,1,85590,0,-2,-1,-1,-1,-1,107,1,2,0,2,4,0,11,3,"hvac","preshouse","remshr","colight","share","nothing"
"64",108,9,3538,714,FALSE,1,85600,1,2,2,2,2,2,108,1,2,1,6,0,3,7,4,"tv","alert","remserv","cosecu","remserv","nothing"
"65",109,9,3538,714,FALSE,1,85610,1,1,1,2,1,2,109,1,2,0,7,5,3,0,5,"alarm","alert","locally","coassis","locally","nothing"
"66",110,9,3538,714,FALSE,1,85620,0,-1,-1,0,1,0,110,1,2,0,2,8,2,3,6,"hvac","opauto","locreco","locsens","locally","reco"
"67",111,9,3538,714,FALSE,1,85630,1,1,2,2,1,0,111,1,2,1,1,3,3,10,7,"refr","alert","remrecoshr","cowash","share","reco"
"68",112,9,3538,714,FALSE,1,85640,1,1,1,1,1,1,112,1,2,0,1,7,1,2,8,"refr","lochouse","locinsi","coalarm","locally","insight"
"69",113,9,3538,714,FALSE,1,85650,1,2,2,2,2,2,113,1,2,0,5,11,2,6,9,"assis","opauto","remreco","watch","remserv","reco"
"70",114,9,3538,714,FALSE,1,85660,0,-1,-1,-1,-1,-1,114,1,2,1,3,9,0,4,10,"wash","preshouse","remopti","cam","remserv","opti"
"71",115,9,3538,714,FALSE,1,85670,1,1,1,1,2,2,115,1,2,1,0,6,0,1,11,"secu","preshouse","locopti","cotv","locally","opti"
"72",116,9,3538,714,FALSE,1,85680,1,1,1,2,1,1,116,1,2,0,0,2,2,9,12,"secu","opauto","reminsishr","cohvac","share","insight"
"73",118,10,54643,724,FALSE,0,86770,0,-3,-3,-3,0,0,118,1,2,0,5,8,1,5,1,"assis","lochouse","reminsi","locsens","remserv","insight"
"74",119,10,54643,724,FALSE,0,86780,1,2,2,3,0,0,119,1,2,0,2,5,1,2,2,"hvac","lochouse","locinsi","coassis","locally","insight"
"75",120,10,54643,724,FALSE,0,86790,1,0,-3,3,0,0,120,1,2,0,0,3,3,0,3,"secu","alert","locally","cowash","locally","nothing"
"76",121,10,54643,724,FALSE,0,86800,0,3,-3,-3,0,0,121,1,2,0,1,0,2,9,4,"refr","opauto","reminsishr","cosecu","share","insight"
"77",122,10,54643,724,FALSE,0,86810,0,-3,-3,-3,0,0,122,1,2,0,3,2,0,11,5,"wash","preshouse","remshr","cohvac","share","nothing"
"78",123,10,54643,724,FALSE,0,86820,1,0,0,1,0,0,123,1,2,1,1,4,0,1,6,"refr","preshouse","locopti","colight","locally","opti"
"79",124,10,54643,724,FALSE,0,86830,0,-3,-3,-3,-3,0,124,1,2,0,6,9,2,6,7,"tv","opauto","remreco","cam","remserv","reco"
"80",125,10,54643,724,FALSE,0,86840,0,-3,-3,-3,-3,0,125,1,2,1,7,10,3,7,8,"alarm","alert","remserv","micro","remserv","nothing"
"81",126,10,54643,724,FALSE,0,86850,0,-1,-1,-1,0,0,126,1,2,0,3,6,2,3,9,"wash","opauto","locreco","cotv","locally","reco"
"82",127,10,54643,724,FALSE,0,86860,0,-3,-3,-3,-3,0,127,1,2,0,0,11,1,8,10,"secu","lochouse","remoptishr","watch","share","opti"
"83",128,10,54643,724,FALSE,0,86870,0,-3,-3,-3,-3,0,128,1,2,1,4,7,0,4,11,"light","preshouse","remopti","coalarm","remserv","opti"
"84",129,10,54643,724,FALSE,0,86880,0,-3,-3,-3,-3,0,129,1,2,1,2,1,3,10,12,"hvac","alert","remrecoshr","corefri","share","reco"
"85",144,12,66239,894,FALSE,0,107170,0,-2,-1,-1,-2,-2,144,2,0,0,5,0,1,7,1,"assis","lochouse","remserv","cosecu","remserv","nothing"
"86",145,12,66239,894,FALSE,0,107180,1,2,1,2,0,1,145,2,0,0,6,1,3,8,2,"tv","alert","remoptishr","corefri","share","opti"
"87",146,12,66239,894,FALSE,0,107190,0,-1,-2,-1,1,-1,146,2,0,1,4,11,0,6,3,"light","preshouse","remreco","watch","remserv","reco"
"88",147,12,66239,894,FALSE,0,107200,1,1,2,1,1,-1,147,2,0,1,6,5,1,0,4,"tv","lochouse","locally","coassis","locally","nothing"
"89",148,12,66239,894,FALSE,0,107210,1,0,1,2,1,-1,148,2,0,1,1,8,0,3,5,"refr","preshouse","locreco","locsens","locally","reco"
"90",149,12,66239,894,FALSE,0,107220,0,2,1,3,1,-1,149,2,0,0,2,9,2,4,6,"hvac","opauto","remopti","cam","remserv","opti"
"91",150,12,66239,894,FALSE,0,107230,0,2,2,0,1,0,150,2,0,0,0,7,3,2,7,"secu","alert","locinsi","coalarm","locally","insight"
"92",151,12,66239,894,FALSE,0,107240,1,1,-1,1,-1,1,151,2,0,0,1,4,2,11,8,"refr","opauto","remshr","colight","share","nothing"
"93",152,12,66239,894,FALSE,0,107250,0,-1,1,2,2,1,152,2,0,0,3,10,3,5,9,"wash","alert","reminsi","micro","remserv","insight"
"94",153,12,66239,894,FALSE,0,107260,0,2,0,-1,0,-1,153,2,0,1,7,2,0,9,10,"alarm","preshouse","reminsishr","cohvac","share","insight"
"95",154,12,66239,894,FALSE,0,107270,0,-1,1,-1,1,-1,154,2,0,0,7,6,2,1,11,"alarm","opauto","locopti","cotv","locally","opti"
"96",155,12,66239,894,FALSE,0,107280,0,1,-1,0,1,2,155,2,0,0,0,3,1,10,12,"secu","lochouse","remrecoshr","cowash","share","reco"
"97",157,13,3562,772,FALSE,0,92530,0,-2,0,-2,-1,1,157,2,0,0,6,1,0,10,1,"tv","preshouse","remrecoshr","corefri","share","reco"
"98",158,13,3562,772,FALSE,0,92540,0,-1,-1,-1,-1,1,158,2,0,1,2,9,3,6,2,"hvac","alert","remreco","cam","remserv","reco"
"99",159,13,3562,772,FALSE,0,92550,0,-1,-1,0,-1,-1,159,2,0,0,6,5,2,2,3,"tv","opauto","locinsi","coassis","locally","insight"
"100",160,13,3562,772,FALSE,0,92560,1,1,1,0,1,1,160,2,0,0,0,7,1,4,4,"secu","lochouse","remopti","coalarm","remserv","opti"
"101",161,13,3562,772,FALSE,0,92570,1,0,-1,0,1,1,161,2,0,0,3,10,0,7,5,"wash","preshouse","remserv","micro","remserv","nothing"
"102",162,13,3562,772,FALSE,0,92580,1,1,1,1,1,1,162,2,0,1,7,6,3,3,6,"alarm","alert","locreco","cotv","locally","reco"
"103",163,13,3562,772,FALSE,0,92590,1,1,1,1,0,1,163,2,0,0,5,4,1,1,7,"assis","lochouse","locopti","colight","locally","opti"
"104",164,13,3562,772,FALSE,0,92600,0,-3,-2,-3,-3,-1,164,2,0,0,4,11,2,8,8,"light","opauto","remoptishr","watch","share","opti"
"105",165,13,3562,772,FALSE,0,92610,0,-3,-2,-3,-3,-2,165,2,0,1,5,0,3,9,9,"assis","alert","reminsishr","cosecu","share","insight"
"106",166,13,3562,772,FALSE,0,92620,1,1,1,1,1,1,166,2,0,1,4,3,0,0,10,"light","preshouse","locally","cowash","locally","nothing"
"107",167,13,3562,772,FALSE,0,92630,0,1,-1,1,0,-1,167,2,0,0,1,8,2,5,11,"refr","opauto","reminsi","locsens","remserv","insight"
"108",168,13,3562,772,FALSE,0,92640,0,-3,0,-3,-2,-2,168,2,0,0,7,2,1,11,12,"alarm","lochouse","remshr","cohvac","share","nothing"
"109",170,14,67137,1018,FALSE,0,122050,1,-1,2,1,-1,1,170,2,1,0,2,7,2,10,1,"hvac","opauto","remrecoshr","coalarm","share","reco"
"110",171,14,67137,1018,FALSE,0,122060,1,1,1,0,-1,1,171,2,1,1,1,6,1,9,2,"refr","lochouse","reminsishr","cotv","share","insight"
"111",172,14,67137,1018,FALSE,0,122070,1,1,1,1,2,2,172,2,1,1,3,0,1,3,3,"wash","lochouse","locreco","cosecu","locally","reco"
"112",173,14,67137,1018,FALSE,0,122080,1,2,1,1,2,1,173,2,1,1,6,3,1,6,4,"tv","lochouse","remreco","cowash","remserv","reco"
"113",174,14,67137,1018,FALSE,0,122090,0,-2,1,-1,-2,1,174,2,1,0,0,5,0,8,5,"secu","preshouse","remoptishr","coassis","share","opti"
"114",175,14,67137,1018,FALSE,0,122100,1,1,2,0,2,2,175,2,1,0,2,11,0,2,6,"hvac","preshouse","locinsi","watch","locally","insight"
"115",176,14,67137,1018,FALSE,0,122110,1,2,2,0,-1,1,176,2,1,0,5,2,0,5,7,"assis","preshouse","reminsi","cohvac","remserv","insight"
"116",177,14,67137,1018,FALSE,0,122120,0,-2,1,-2,-2,2,177,2,1,0,7,4,2,7,8,"alarm","opauto","remserv","colight","remserv","nothing"
"117",178,14,67137,1018,FALSE,0,122130,0,-2,0,-1,-2,1,178,2,1,0,4,1,3,4,9,"light","alert","remopti","corefri","remserv","opti"
"118",179,14,67137,1018,FALSE,0,122140,1,1,1,0,0,1,179,2,1,0,3,8,3,11,10,"wash","alert","remshr","locsens","share","nothing"
"119",180,14,67137,1018,FALSE,0,122150,1,2,2,2,2,2,180,2,1,1,0,9,2,0,11,"secu","opauto","locally","cam","locally","nothing"
"120",181,14,67137,1018,FALSE,0,122160,1,2,2,2,2,2,181,2,1,0,1,10,3,1,12,"refr","alert","locopti","micro","locally","opti"
"121",196,16,43255,622,FALSE,0,74530,1,0,2,0,1,1,196,1,1,1,6,4,2,7,1,"tv","opauto","remserv","colight","remserv","nothing"
"122",197,16,43255,622,FALSE,0,74540,0,-3,-3,-3,-3,-3,197,1,1,0,7,9,2,0,2,"alarm","opauto","locally","cam","locally","nothing"
"123",198,16,43255,622,FALSE,0,74550,0,0,0,-1,-3,-3,198,1,1,0,5,3,1,6,3,"assis","lochouse","remreco","cowash","remserv","reco"
"124",199,16,43255,622,FALSE,0,74560,0,0,-1,-3,-3,-3,199,1,1,0,1,11,0,2,4,"refr","preshouse","locinsi","watch","locally","insight"
"125",200,16,43255,622,FALSE,0,74570,1,1,2,0,2,2,200,1,1,0,4,2,0,5,5,"light","preshouse","reminsi","cohvac","remserv","insight"
"126",201,16,43255,622,FALSE,0,74580,0,-2,0,-1,-2,-2,201,1,1,0,2,8,3,11,6,"hvac","alert","remshr","locsens","share","nothing"
"127",202,16,43255,622,FALSE,0,74590,0,-2,0,-2,-3,-2,202,1,1,0,0,6,1,9,7,"secu","lochouse","reminsishr","cotv","share","insight"
"128",203,16,43255,622,FALSE,0,74600,0,-3,-1,-3,-3,2,203,1,1,0,7,5,0,8,8,"alarm","preshouse","remoptishr","coassis","share","opti"
"129",204,16,43255,622,FALSE,0,74610,1,0,1,0,1,1,204,1,1,1,1,7,2,10,9,"refr","opauto","remrecoshr","coalarm","share","reco"
"130",205,16,43255,622,FALSE,0,74620,1,1,1,0,1,2,205,1,1,0,2,0,1,3,10,"hvac","lochouse","locreco","cosecu","locally","reco"
"131",206,16,43255,622,FALSE,0,74630,0,0,0,0,0,0,206,1,1,1,0,10,3,1,11,"secu","alert","locopti","micro","locally","opti"
"132",207,16,43255,622,FALSE,0,74640,0,0,0,0,-1,1,207,1,1,1,3,1,3,4,12,"wash","alert","remopti","corefri","remserv","opti"
"133",222,18,91614,891,FALSE,0,106810,1,2,1,2,2,0,222,2,0,0,4,4,3,2,1,"light","alert","locinsi","colight","locally","insight"
"134",223,18,91614,891,FALSE,0,106820,0,-2,2,-3,-2,-1,223,2,0,0,3,11,0,9,2,"wash","preshouse","reminsishr","watch","share","insight"
"135",224,18,91614,891,FALSE,0,106830,1,1,-1,1,0,0,224,2,0,0,5,5,0,3,3,"assis","preshouse","locreco","coassis","locally","reco"
"136",225,18,91614,891,FALSE,0,106840,0,-2,-3,-2,-3,-3,225,2,0,1,1,9,1,7,4,"refr","lochouse","remserv","cam","remserv","nothing"
"137",226,18,91614,891,FALSE,0,106850,1,-1,2,0,0,0,226,2,0,0,2,2,1,0,5,"hvac","lochouse","locally","cohvac","locally","nothing"
"138",227,18,91614,891,FALSE,0,106860,1,2,-1,2,0,-2,227,2,0,1,3,3,2,1,6,"wash","opauto","locopti","cowash","locally","opti"
"139",228,18,91614,891,FALSE,0,106870,0,-2,1,-3,-2,-1,228,2,0,0,0,8,0,6,7,"secu","preshouse","remreco","locsens","remserv","reco"
"140",229,18,91614,891,FALSE,0,106880,0,-3,1,-3,-3,-3,229,2,0,1,4,0,1,10,8,"light","lochouse","remrecoshr","cosecu","share","reco"
"141",230,18,91614,891,FALSE,0,106890,0,-3,1,-3,-3,-3,230,2,0,0,5,1,2,11,9,"assis","opauto","remshr","corefri","share","nothing"
"142",231,18,91614,891,FALSE,0,106900,0,-3,2,-3,-3,-3,231,2,0,0,2,10,3,8,10,"hvac","alert","remoptishr","micro","share","opti"
"143",232,18,91614,891,FALSE,0,106910,1,2,1,2,0,0,232,2,0,0,7,7,3,5,11,"alarm","alert","reminsi","coalarm","remserv","insight"
"144",233,18,91614,891,FALSE,0,106920,1,-1,2,0,1,1,233,2,0,1,6,6,2,4,12,"tv","opauto","remopti","cotv","remserv","opti"
"145",261,21,17019,1002,FALSE,0,120130,0,0,-1,-2,-2,-1,261,2,1,0,6,0,2,7,1,"tv","opauto","remserv","cosecu","remserv","nothing"
"146",262,21,17019,1002,FALSE,0,120140,0,-2,-2,-3,-2,-2,262,2,1,0,7,1,0,8,2,"alarm","preshouse","remoptishr","corefri","share","opti"
"147",263,21,17019,1002,FALSE,0,120150,1,1,2,2,2,2,263,2,1,1,2,8,1,3,3,"hvac","lochouse","locreco","locsens","locally","reco"
"148",264,21,17019,1002,FALSE,0,120160,1,2,2,1,1,2,264,2,1,0,0,6,3,1,4,"secu","alert","locopti","cotv","locally","opti"
"149",265,21,17019,1002,FALSE,0,120170,0,-1,-1,-2,-3,-2,265,2,1,0,4,10,0,5,5,"light","preshouse","reminsi","micro","remserv","insight"
"150",266,21,17019,1002,FALSE,0,120180,1,2,2,2,2,1,266,2,1,1,7,5,2,0,6,"alarm","opauto","locally","coassis","locally","nothing"
"151",267,21,17019,1002,FALSE,0,120190,0,-1,0,0,-1,-1,267,2,1,1,0,2,1,9,7,"secu","lochouse","reminsishr","cohvac","share","insight"
"152",268,21,17019,1002,FALSE,0,120200,1,1,0,0,1,0,268,2,1,0,3,9,3,4,8,"wash","alert","remopti","cam","remserv","opti"
"153",269,21,17019,1002,FALSE,0,120210,0,0,-1,0,0,-1,269,2,1,0,1,3,2,10,9,"refr","opauto","remrecoshr","cowash","share","reco"
"154",270,21,17019,1002,FALSE,0,120220,1,1,1,-1,0,1,270,2,1,0,2,4,3,11,10,"hvac","alert","remshr","colight","share","nothing"
"155",271,21,17019,1002,FALSE,0,120230,0,-1,0,-1,-1,2,271,2,1,1,5,11,1,6,11,"assis","lochouse","remreco","watch","remserv","reco"
"156",272,21,17019,1002,FALSE,0,120240,1,1,1,2,2,2,272,2,1,0,1,7,0,2,12,"refr","preshouse","locinsi","coalarm","locally","insight"
"157",274,22,40332,976,FALSE,0,117010,1,3,3,1,3,2,274,2,1,0,2,8,0,5,1,"hvac","preshouse","reminsi","locsens","remserv","insight"
"158",275,22,40332,976,FALSE,0,117020,1,3,3,3,3,1,275,2,1,0,7,5,0,2,2,"alarm","preshouse","locinsi","coassis","locally","insight"
"159",276,22,40332,976,FALSE,0,117030,0,-3,-2,-2,-2,-3,276,2,1,0,5,11,0,8,3,"assis","preshouse","remoptishr","watch","share","opti"
"160",277,22,40332,976,FALSE,0,117040,1,2,3,1,3,3,277,2,1,0,4,10,2,7,4,"light","opauto","remserv","micro","remserv","nothing"
"161",278,22,40332,976,FALSE,0,117050,1,3,3,3,2,2,278,2,1,1,5,3,2,0,5,"assis","opauto","locally","cowash","locally","nothing"
"162",279,22,40332,976,FALSE,0,117060,1,3,3,3,3,2,279,2,1,0,6,4,3,1,6,"tv","alert","locopti","colight","locally","opti"
"163",280,22,40332,976,FALSE,0,117070,0,-3,-3,-3,-3,-3,280,2,1,1,6,0,1,9,7,"tv","lochouse","reminsishr","cosecu","share","insight"
"164",281,22,40332,976,FALSE,0,117080,1,3,3,3,3,1,281,2,1,1,0,6,1,3,8,"secu","lochouse","locreco","cotv","locally","reco"
"165",282,22,40332,976,FALSE,0,117090,1,3,3,3,3,1,282,2,1,0,0,2,3,11,9,"secu","alert","remshr","cohvac","share","nothing"
"166",283,22,40332,976,FALSE,0,117100,0,-3,-3,-1,-3,-3,283,2,1,1,3,9,1,6,10,"wash","lochouse","remreco","cam","remserv","reco"
"167",284,22,40332,976,FALSE,0,117110,0,-1,-3,-1,-2,-3,284,2,1,0,7,1,2,10,11,"alarm","opauto","remrecoshr","corefri","share","reco"
"168",285,22,40332,976,FALSE,0,117120,0,0,0,0,-3,-3,285,2,1,0,1,7,3,4,12,"refr","alert","remopti","coalarm","remserv","opti"
"169",287,23,92343,320,TRUE,0,38290,0,-2,-2,-1,-2,-3,287,0,2,1,6,3,1,8,1,"tv","lochouse","remoptishr","cowash","share","opti"
"170",288,23,92343,320,TRUE,0,38300,0,-1,-1,-1,-1,-1,288,0,2,0,0,5,3,10,2,"secu","alert","remrecoshr","coassis","share","reco"
"171",289,23,92343,320,TRUE,0,38310,0,-2,-1,-2,-3,-2,289,0,2,1,1,6,0,11,3,"refr","preshouse","remshr","cotv","share","nothing"
"172",290,23,92343,320,TRUE,0,38320,0,-2,-3,-1,-2,-2,290,0,2,1,3,0,1,5,4,"wash","lochouse","reminsi","cosecu","remserv","insight"
"173",291,23,92343,320,TRUE,0,38330,1,1,2,0,1,2,291,0,2,0,2,11,0,4,5,"hvac","preshouse","remopti","watch","remserv","opti"
"174",292,23,92343,320,TRUE,0,38340,0,-1,-2,-1,-2,-2,292,0,2,0,4,1,2,6,6,"light","opauto","remreco","corefri","remserv","reco"
"175",293,23,92343,320,TRUE,0,38350,1,2,2,1,2,-1,293,0,2,0,1,10,2,3,7,"refr","opauto","locreco","micro","locally","reco"
